Chromosome Name	Gene Start (bp)	Gene End (bp)	Ensembl Gene ID	Associated Gene Name
4	159635344	159635441	ENSPTRG00000039163	
GL395245.1	8207	8503	ENSPTRG00000041823	Metazoa_SRP
17	35638780	35639080	ENSPTRG00000041930	Metazoa_SRP
1	224365621	224365951	ENSPTRG00000026130	7SK
15	81181771	81181843	ENSPTRG00000035634	
12	54433851	54433957	ENSPTRG00000031515	U6
Y	11840795	11840889	ENSPTRG00000041772	
2B	192903980	192904092	ENSPTRG00000025032	5S_rRNA
6	31282746	31282837	ENSPTRG00000037031	Y_RNA
4	186654705	186654806	ENSPTRG00000038605	snoU13
3	151724700	151724789	ENSPTRG00000032397	
15	22682082	22682163	ENSPTRG00000032178	SNORD115
6	112172876	112172982	ENSPTRG00000027513	U6
16	47637312	47637416	ENSPTRG00000037016	snoU13
X	102419217	102419323	ENSPTRG00000042343	U6
6	168889809	168889914	ENSPTRG00000039346	
21	15573890	15573993	ENSPTRG00000037602	snoU13
2B	220322082	220322180	ENSPTRG00000038318	snoU13
GL393544.1	169578	169695	ENSPTRG00000041346	5S_rRNA
6	23345701	23345807	ENSPTRG00000024779	U6
GL392524.1	102978	103050	ENSPTRG00000040104	
1	163632060	163632176	ENSPTRG00000025796	5S_rRNA
4	86606502	86606608	ENSPTRG00000026017	U6
1	146749826	146749922	ENSPTRG00000027909	ptr-mir-557
X	23839766	23839878	ENSPTRG00000032078	Y_RNA
3	38147370	38147432	ENSPTRG00000037064	U7
13	93550106	93550219	ENSPTRG00000037269	SNORD22
12	34983668	34983947	ENSPTRG00000040542	Metazoa_SRP
GL392645.1	16487	16677	ENSPTRG00000039495	U2
5	179740722	179740992	ENSPTRG00000038459	7SK
14	100664429	100664503	ENSPTRG00000024411	SNORD113
2B	235304020	235304115	ENSPTRG00000027523	Y_RNA
5	17124438	17124546	ENSPTRG00000026464	U6
2B	169718378	169718472	ENSPTRG00000033610	
10	1129103	1129165	ENSPTRG00000041054	U7
14	48753987	48754089	ENSPTRG00000036641	U6
1	182548895	182549019	ENSPTRG00000034929	SNORA77
4	141711139	141711414	ENSPTRG00000042289	Metazoa_SRP
14	100673208	100673285	ENSPTRG00000025525	SNORD113
17	14385733	14385824	ENSPTRG00000026860	Y_RNA
12	40711240	40711376	ENSPTRG00000027302	SNORA2
6	72853044	72853150	ENSPTRG00000039069	
5	274484	274594	ENSPTRG00000032879	Y_RNA
GL394259.1	26100	26175	ENSPTRG00000041430	
9	28843984	28844069	ENSPTRG00000032366	
X	125485225	125485323	ENSPTRG00000037844	snoU13
8	108316050	108316155	ENSPTRG00000036563	U2
10	74852176	74852465	ENSPTRG00000039017	Metazoa_SRP
15	22678385	22678466	ENSPTRG00000032132	SNORD115
22	36434227	36434306	ENSPTRG00000037669	snoU13
3	168122676	168122784	ENSPTRG00000034966	
AACZ03162729.1	593	699	ENSPTRG00000041253	U6
2B	128554165	128554270	ENSPTRG00000036408	U6
AACZ03151152.1	232	289	ENSPTRG00000035273	
15	32768184	32768251	ENSPTRG00000039207	ptr-mir-4510
2B	199320886	199320951	ENSPTRG00000036833	SNORD59
2A	111427341	111427420	ENSPTRG00000041397	
GL392652.1	236784	236887	ENSPTRG00000037693	U6
9	136326337	136326472	ENSPTRG00000026840	SNORA43
5	143409624	143409706	ENSPTRG00000037258	
9	136417497	136417563	ENSPTRG00000041308	
8	67563198	67563492	ENSPTRG00000036429	7SK
15	93188300	93188490	ENSPTRG00000035603	U2
22	25219542	25219652	ENSPTRG00000035242	ptr-mir-548j
13	99594610	99594707	ENSPTRG00000028040	ptr-mir-623
22	21270652	21270746	ENSPTRG00000038849	
5	16202885	16203012	ENSPTRG00000037488	5S_rRNA
5	51749093	51749161	ENSPTRG00000033652	
17	81626895	81626978	ENSPTRG00000037834	snoU13
3	105133920	105134028	ENSPTRG00000032949	Y_RNA
6	114623403	114623499	ENSPTRG00000034594	
11	59276208	59276505	ENSPTRG00000038974	Metazoa_SRP
GL392766.1	6848	6927	ENSPTRG00000041865	
5	91341849	91341950	ENSPTRG00000032086	Y_RNA
14	22298925	22299007	ENSPTRG00000027684	ptr-mir-208a
2B	236718088	236718157	ENSPTRG00000025581	SNORD82
5	79007461	79007556	ENSPTRG00000032379	ptr-mir-580
2A	55024760	55024823	ENSPTRG00000037934	U7
2A	48138238	48138332	ENSPTRG00000032347	ptr-mir-559
5	179500141	179500435	ENSPTRG00000040678	Metazoa_SRP
1	100806995	100807101	ENSPTRG00000025166	U6
AACZ03169270.1	3311	3460	ENSPTRG00000039889	SNORA75
9	109469509	109469617	ENSPTRG00000027243	U6
AACZ03168727.1	1390	1480	ENSPTRG00000038761	
2B	242815472	242815577	ENSPTRG00000036496	U6
4	107543178	107543287	ENSPTRG00000038421	U6
7	99959372	99959472	ENSPTRG00000037360	snoU13
22	18688559	18688636	ENSPTRG00000035135	ptr-mir-1286
17	43125902	43125976	ENSPTRG00000039038	
X	47644530	47644685	ENSPTRG00000026128	U12
2B	193624085	193624153	ENSPTRG00000034697	ptr-mir-1245
X	149560872	149561153	ENSPTRG00000037437	7SK
15	46323939	46324040	ENSPTRG00000027141	Y_RNA
17	17229421	17229507	ENSPTRG00000035193	
4	112110639	112110735	ENSPTRG00000032306	ptr-mir-576
1	86178141	86178250	ENSPTRG00000026032	Y_RNA
3	20303249	20303371	ENSPTRG00000026780	U4
2A	9625092	9625195	ENSPTRG00000036706	snoU13
5	38399348	38399457	ENSPTRG00000040636	
8	142848098	142848190	ENSPTRG00000028108	ptr-mir-661
8	16361293	16361390	ENSPTRG00000035783	U6
GL389131.1	6230	6393	ENSPTRG00000042111	U1
15	26209073	26209155	ENSPTRG00000034621	ptr-mir-1233-1
4	177653614	177653683	ENSPTRG00000041084	
AACZ03160628.1	2357	2457	ENSPTRG00000039210	Y_RNA
15	47681690	47681807	ENSPTRG00000038119	5S_rRNA
1	201074490	201074593	ENSPTRG00000024408	U6
17	66402264	66402394	ENSPTRG00000031877	SNORA38
4	68992769	68992834	ENSPTRG00000038818	
19	48180933	48181018	ENSPTRG00000041123	
3	130631858	130631964	ENSPTRG00000025350	U6
16	30844058	30844156	ENSPTRG00000035427	U6
20	37781712	37781822	ENSPTRG00000033243	5S_rRNA
2B	182521113	182521215	ENSPTRG00000026798	U6
14	32086569	32086654	ENSPTRG00000041497	
1	162919299	162919406	ENSPTRG00000026125	Y_RNA
15	59629617	59629699	ENSPTRG00000034725	
5	140045182	140045513	ENSPTRG00000037676	7SK
7	4197812	4197895	ENSPTRG00000040258	
7	82793377	82793462	ENSPTRG00000040396	
7	31281209	31281304	ENSPTRG00000032292	ptr-mir-550-3
9	20727213	20727319	ENSPTRG00000035951	U4
2A	55873777	55873880	ENSPTRG00000025982	U6
9	39182626	39182724	ENSPTRG00000038257	U6
15	46355244	46355327	ENSPTRG00000041993	
6	27278835	27278937	ENSPTRG00000037086	
5	19829487	19829587	ENSPTRG00000033219	U6
X	12075583	12075666	ENSPTRG00000036835	
12	26441758	26441921	ENSPTRG00000027001	U1
9	116373788	116373931	ENSPTRG00000035366	
1	210015726	210015798	ENSPTRG00000038024	snoU13
GL393538.1	149153	149216	ENSPTRG00000040909	
14	30134298	30134395	ENSPTRG00000027201	Y_RNA
AACZ03171505.1	872	972	ENSPTRG00000041937	
X	148744965	148745080	ENSPTRG00000025715	5S_rRNA
GL392651.1	202035	202335	ENSPTRG00000040662	Metazoa_SRP
22	49331045	49331145	ENSPTRG00000025623	Y_RNA
2B	246815226	246815303	ENSPTRG00000041799	
19	58670165	58670254	ENSPTRG00000031934	ptr-mir-516a-2
1	9532484	9532593	ENSPTRG00000037254	5S_rRNA
10	32851153	32851260	ENSPTRG00000027223	U6
1	28731711	28731841	ENSPTRG00000036986	SCARNA24
X	94396735	94396824	ENSPTRG00000033456	
11	110508111	110508209	ENSPTRG00000033245	snosnR66
18	16712245	16712328	ENSPTRG00000034906	
4	73660175	73660215	ENSPTRG00000037949	5S_rRNA
7	100261692	100261838	ENSPTRG00000035104	
13	19252178	19252455	ENSPTRG00000038666	Metazoa_SRP
3	150020243	150020349	ENSPTRG00000034943	
21	21658897	21658985	ENSPTRG00000040907	
10	133063760	133063868	ENSPTRG00000027689	ptr-mir-202
20	3256776	3256986	ENSPTRG00000025108	U3
9	135048041	135048130	ENSPTRG00000035170	
13	110477668	110477966	ENSPTRG00000040249	Metazoa_SRP
4	123515532	123515838	ENSPTRG00000036392	7SK
2B	125495671	125495776	ENSPTRG00000038110	5S_rRNA
GL389116.1	9666	9829	ENSPTRG00000040202	U1
17	14492853	14492954	ENSPTRG00000036632	U6
1	139950144	139950245	ENSPTRG00000025358	Y_RNA
8	96453538	96453649	ENSPTRG00000036004	U6
21	21827656	21827748	ENSPTRG00000032245	ptr-mir-802
7	42417011	42417114	ENSPTRG00000037988	U6
11	47760891	47760987	ENSPTRG00000036064	Y_RNA
6	35130242	35130347	ENSPTRG00000037701	snoU13
4	146119088	146119163	ENSPTRG00000039566	
6	36101636	36101763	ENSPTRG00000032906	SNORA40
1	102573572	102573667	ENSPTRG00000037554	U6
4	20383735	20383844	ENSPTRG00000027574	ptr-mir-218-1
4	7473109	7473183	ENSPTRG00000039582	
AACZ03169020.1	361	430	ENSPTRG00000040487	
9	121164880	121164965	ENSPTRG00000038862	
5	96839329	96839413	ENSPTRG00000038255	
20	44509273	44509376	ENSPTRG00000032090	U6
1	161533873	161533963	ENSPTRG00000040734	
AACZ03150567.1	2143	2437	ENSPTRG00000042597	Metazoa_SRP
6	127235164	127235286	ENSPTRG00000037565	5S_rRNA
AACZ03157971.1	990	1059	ENSPTRG00000038792	
16	45133802	45133865	ENSPTRG00000038805	
9	20810824	20810901	ENSPTRG00000042171	
11	73173251	73173394	ENSPTRG00000039442	SNORD15
6	44173496	44173557	ENSPTRG00000037634	U7
Y	16353141	16353259	ENSPTRG00000031827	5S_rRNA
18	45795414	45795525	ENSPTRG00000027078	Y_RNA
X	53817269	53817352	ENSPTRG00000039604	
5	110119993	110120331	ENSPTRG00000032213	7SK
18	44976557	44976638	ENSPTRG00000038886	
19	2231955	2232034	ENSPTRG00000039692	
2A	91465653	91465746	ENSPTRG00000037628	
2B	127703918	127703979	ENSPTRG00000038476	U7
11	29635358	29635643	ENSPTRG00000042596	Metazoa_SRP
6	34896720	34896859	ENSPTRG00000034881	
18	7316238	7316338	ENSPTRG00000037136	snoU13
4	422799	422905	ENSPTRG00000031668	
14	100681936	100682007	ENSPTRG00000031775	SNORD113
7	138319418	138319526	ENSPTRG00000037367	snoU13
AACZ03176061.1	1227	1296	ENSPTRG00000040345	
GL392075.1	5703702	5703806	ENSPTRG00000038614	snoU13
10	12759605	12759675	ENSPTRG00000039720	
15	29745679	29745743	ENSPTRG00000032688	SNORD77
19	21197284	21197392	ENSPTRG00000025404	5S_rRNA
3	126308429	126308554	ENSPTRG00000034815	
3	104818714	104818815	ENSPTRG00000031653	Y_RNA
7	137156649	137156750	ENSPTRG00000036761	U6
3	37666948	37667049	ENSPTRG00000026804	Y_RNA
4	35452089	35452194	ENSPTRG00000032210	U6
14	103289730	103289870	ENSPTRG00000025084	U4
Y	16208930	16209081	ENSPTRG00000038985	5_8S_rRNA
6	103067460	103067666	ENSPTRG00000040543	
1	27833568	27833673	ENSPTRG00000035844	U6
6	1147587	1147688	ENSPTRG00000038294	snoU13
6	65643416	65643516	ENSPTRG00000038184	U6
8	98218403	98218515	ENSPTRG00000039447	
9	29239790	29239866	ENSPTRG00000033643	ptr-mir-873
14	36796782	36796888	ENSPTRG00000027437	U6
19	56581386	56581470	ENSPTRG00000032252	ptr-mir-125a
22	16655779	16655858	ENSPTRG00000042206	
6	156582248	156582324	ENSPTRG00000034320	
19	44594928	44595221	ENSPTRG00000039677	Metazoa_SRP
4	51142868	51143165	ENSPTRG00000042537	Metazoa_SRP
3	43852845	43852975	ENSPTRG00000035030	
AACZ03172224.1	318	374	ENSPTRG00000041378	
3	194723269	194723609	ENSPTRG00000035709	7SK
2B	225273619	225273686	ENSPTRG00000039253	
6	160191502	160191791	ENSPTRG00000039076	Metazoa_SRP
3	15979720	15980013	ENSPTRG00000038843	Metazoa_SRP
18	44082360	44082466	ENSPTRG00000026001	U6
7	70208094	70208389	ENSPTRG00000026868	7SK
GL393501.1	9948	10236	ENSPTRG00000041377	Metazoa_SRP
7	77550773	77550874	ENSPTRG00000031535	Y_RNA
3	190855185	190855322	ENSPTRG00000027085	SNORA4
X	134828090	134828170	ENSPTRG00000027573	ptr-mir-106a
AACZ03153130.1	1317	1403	ENSPTRG00000040901	
17	28210767	28210842	ENSPTRG00000042050	
X	135212796	135212895	ENSPTRG00000027726	ptr-mir-450a-2
5	156947846	156947958	ENSPTRG00000037215	5S_rRNA
7	70739644	70739745	ENSPTRG00000042523	Y_RNA
1	184597346	184597477	ENSPTRG00000024684	SNORA72
7	131830099	131830202	ENSPTRG00000038484	snoU13
3	48919058	48919119	ENSPTRG00000036888	U7
19	34093905	34094010	ENSPTRG00000035852	5S_rRNA
6	19832739	19832843	ENSPTRG00000024627	U6
2A	48543282	48543368	ENSPTRG00000036624	U6
1	23747784	23748045	ENSPTRG00000041417	Metazoa_SRP
GL389127.1	11967	12130	ENSPTRG00000042576	U1
13	85627640	85627745	ENSPTRG00000036607	U6
8	62190280	62190388	ENSPTRG00000027822	ptr-mir-124a
19	54497922	54498005	ENSPTRG00000032227	ptr-mir-150
12	102141427	102141534	ENSPTRG00000035583	5S_rRNA
2A	97356017	97356305	ENSPTRG00000039679	Metazoa_SRP
17	15555884	15556149	ENSPTRG00000039823	Metazoa_SRP
6	107483237	107483338	ENSPTRG00000041467	Y_RNA
GL395456.1	12376	12459	ENSPTRG00000042601	
10	108276532	108276872	ENSPTRG00000035920	7SK
2B	174117149	174117200	ENSPTRG00000039031	
10	71780704	71780806	ENSPTRG00000027426	Y_RNA
17	11921763	11922056	ENSPTRG00000038806	Metazoa_SRP
8	121885264	121885339	ENSPTRG00000041422	
15	40631652	40631755	ENSPTRG00000039186	snoU13
6	109037712	109037832	ENSPTRG00000037605	SNORA73
7	150420727	150421020	ENSPTRG00000040968	Metazoa_SRP
12	57134289	57134388	ENSPTRG00000037314	snoU13
6	16600269	16600348	ENSPTRG00000035248	
17	28819169	28819259	ENSPTRG00000027993	
14	76491099	76491225	ENSPTRG00000025768	SNORA32
4	138041923	138042014	ENSPTRG00000031740	
10	104776357	104776463	ENSPTRG00000024648	U6
2B	207046548	207046632	ENSPTRG00000032764	SNORD70
22	26738751	26739049	ENSPTRG00000040026	Metazoa_SRP
15	22697075	22697156	ENSPTRG00000032093	SNORD115
11	69592015	69592109	ENSPTRG00000038769	
17	57390749	57390914	ENSPTRG00000024786	U1
11	83434856	83434962	ENSPTRG00000024964	U6
4	55746720	55746797	ENSPTRG00000039994	
3	64474516	64474611	ENSPTRG00000037235	5S_rRNA
17	24641718	24641810	ENSPTRG00000027929	ptr-mir-632
1	152346393	152346477	ENSPTRG00000026801	SNORD79
9	130345878	130346016	ENSPTRG00000041228	SNORA31
5	10993785	10993857	ENSPTRG00000036777	
4	128012123	128012255	ENSPTRG00000036493	
14	33574713	33574816	ENSPTRG00000038497	U6
3	77132278	77132359	ENSPTRG00000039888	
5	112620607	112620739	ENSPTRG00000027550	SNORA13
6	26617366	26617431	ENSPTRG00000037131	U6
9	82250737	82250877	ENSPTRG00000025807	U4
3	42302257	42302338	ENSPTRG00000034827	
16	2148946	2149035	ENSPTRG00000034888	ptr-mir-1225
10	99120289	99120393	ENSPTRG00000036816	snoU13
14	76843510	76843810	ENSPTRG00000040756	Metazoa_SRP
9	92254329	92254658	ENSPTRG00000036221	7SK
1	112186866	112186990	ENSPTRG00000025148	U1
12	133732147	133732259	ENSPTRG00000027287	5S_rRNA
2B	237127416	237127472	ENSPTRG00000035437	
6	88091493	88091600	ENSPTRG00000026629	U6
5	41767757	41767818	ENSPTRG00000036996	U7
4	77335633	77335754	ENSPTRG00000033007	SNORA26
GL390916.1	3286444	3286550	ENSPTRG00000035821	U6
16	18874482	18874588	ENSPTRG00000025080	U6
X	134409833	134409931	ENSPTRG00000032122	
2A	61470926	61471000	ENSPTRG00000041044	
2B	172972011	172972117	ENSPTRG00000027867	U6
3	162657356	162657443	ENSPTRG00000034995	
11	41201415	41201520	ENSPTRG00000037101	U6
17	12069457	12069588	ENSPTRG00000026283	5S_rRNA
GL389206.1	1463	1548	ENSPTRG00000040988	
7	35990881	35991020	ENSPTRG00000024923	SNORA51
3	73117243	73117529	ENSPTRG00000041751	Metazoa_SRP
7	150331331	150331414	ENSPTRG00000037482	U6
7	159974758	159974838	ENSPTRG00000040997	
14	87461585	87461688	ENSPTRG00000038102	U6
19	34022771	34022873	ENSPTRG00000037200	snoU13
19	5435886	5436183	ENSPTRG00000039446	Metazoa_SRP
1	12046518	12046641	ENSPTRG00000035430	U5
15	22666030	22666111	ENSPTRG00000033396	SNORD115
1	163877789	163877893	ENSPTRG00000025010	Y_RNA
7	153221964	153222069	ENSPTRG00000038374	snoU13
16	75280309	75280418	ENSPTRG00000025625	5S_rRNA
4	95761820	95761913	ENSPTRG00000033482	
1	30939613	30939921	ENSPTRG00000036490	7SK
5	31425630	31425720	ENSPTRG00000033600	
1	159035940	159036043	ENSPTRG00000025170	Y_RNA
GL396397.1	852	934	ENSPTRG00000040198	
3	50650127	50650401	ENSPTRG00000039100	Metazoa_SRP
12	7138467	7138736	ENSPTRG00000037364	snoU89
8	5877753	5878056	ENSPTRG00000036092	7SK
1	133376689	133376797	ENSPTRG00000024768	Y_RNA
3	103791514	103791590	ENSPTRG00000037945	SNORA31
14	102571574	102571681	ENSPTRG00000024992	U6
4	134268628	134268906	ENSPTRG00000040310	Metazoa_SRP
12	19654841	19655134	ENSPTRG00000041664	Metazoa_SRP
15	61748259	61748397	ENSPTRG00000037207	SNORA48
2B	206563578	206563666	ENSPTRG00000041383	
3	43079863	43079955	ENSPTRG00000037596	
11	57372393	57372474	ENSPTRG00000039284	
22	44425265	44425366	ENSPTRG00000037610	U6
1	124450836	124450939	ENSPTRG00000037350	snoU13
16	84967384	84967500	ENSPTRG00000035167	
7	70923090	70923190	ENSPTRG00000038820	Y_RNA
7	134578037	134578140	ENSPTRG00000037087	U6
X	124654246	124654338	ENSPTRG00000037707	snoU13
1	65614068	65614175	ENSPTRG00000035456	U6
2B	122300861	122300951	ENSPTRG00000038346	snoU13
4	41362576	41362676	ENSPTRG00000025997	Y_RNA
2B	149384749	149384851	ENSPTRG00000037864	snR65
19	58574800	58574882	ENSPTRG00000031967	ptr-mir-512
6	30961620	30961696	ENSPTRG00000036201	
14	100624416	100624487	ENSPTRG00000041800	SNORD113
16	74973626	74973719	ENSPTRG00000036206	
2A	33119917	33119993	ENSPTRG00000041904	
2A	46270811	46271102	ENSPTRG00000039299	Metazoa_SRP
13	38450020	38450130	ENSPTRG00000034608	
AACZ03163629.1	1266	1404	ENSPTRG00000039068	
X	146746734	146746804	ENSPTRG00000040090	
14	102395351	102395459	ENSPTRG00000026059	Y_RNA
5	182375454	182375521	ENSPTRG00000041225	
GL392604.1	2906	3006	ENSPTRG00000042237	
12	56629264	56629396	ENSPTRG00000037491	U6
13	65963215	65963289	ENSPTRG00000040150	
11	64110270	64110374	ENSPTRG00000037853	snoU13
GL391837.1	3616340	3616428	ENSPTRG00000027623	ptr-mir-130a
2B	140356047	140356385	ENSPTRG00000036987	7SK
1	77672843	77672914	ENSPTRG00000041590	
20	37954913	37955102	ENSPTRG00000035605	U2
8	36206755	36206861	ENSPTRG00000035067	
20	32020614	32020731	ENSPTRG00000026599	5S_rRNA
2B	216471343	216471459	ENSPTRG00000026466	5S_rRNA
10	81387214	81387300	ENSPTRG00000034656	
X	6213877	6213934	ENSPTRG00000041136	
12	13859048	13859152	ENSPTRG00000038281	
7	153059795	153059894	ENSPTRG00000038437	U6
1	28548872	28548971	ENSPTRG00000037115	snoU13
20	2533093	2533164	ENSPTRG00000024578	SNORD57
11	2392267	2392379	ENSPTRG00000026330	Y_RNA
14	89690091	89690199	ENSPTRG00000025685	Y_RNA
12	115145187	115145300	ENSPTRG00000025447	Y_RNA
20	44517966	44518073	ENSPTRG00000025626	U6
3	1097895	1098186	ENSPTRG00000038944	Metazoa_SRP
15	72354743	72354828	ENSPTRG00000041792	
1	159354249	159354346	ENSPTRG00000040007	
3	61782338	61782553	ENSPTRG00000032927	U3
5	141303065	141303190	ENSPTRG00000032715	SNORA27
19	37754487	37754619	ENSPTRG00000026389	SNORA68
13	18614367	18614474	ENSPTRG00000036637	5S_rRNA
8	142243888	142243994	ENSPTRG00000033439	U6
4	111262941	111263047	ENSPTRG00000025906	U6
X	22861915	22862000	ENSPTRG00000039543	
6	50044650	50044711	ENSPTRG00000038557	U7
14	35540982	35541327	ENSPTRG00000027380	7SK
20	53956401	53956507	ENSPTRG00000026691	U6
12	131870179	131870290	ENSPTRG00000026973	Y_RNA
2B	155573551	155573832	ENSPTRG00000039878	Metazoa_SRP
2A	51754096	51754190	ENSPTRG00000033458	
1	91417839	91418052	ENSPTRG00000026198	U3
12	134097248	134097352	ENSPTRG00000025932	Y_RNA
3	114048139	114048240	ENSPTRG00000033179	Y_RNA
1	12177353	12177625	ENSPTRG00000041652	Metazoa_SRP
7	161547137	161547237	ENSPTRG00000039573	Y_RNA
11	3608950	3609019	ENSPTRG00000037112	U6
Y	21226817	21226913	ENSPTRG00000039395	
4	363260	363351	ENSPTRG00000028082	ptr-mir-571-2
15	26210055	26210304	ENSPTRG00000039760	Metazoa_SRP
2B	187623554	187623665	ENSPTRG00000034668	SNORA77
3	202148872	202148978	ENSPTRG00000036257	U6
21	10939756	10939827	ENSPTRG00000033667	
6	16319701	16319859	ENSPTRG00000038419	U3
15	22507238	22507335	ENSPTRG00000025021	SNORD116
1	76451478	76451549	ENSPTRG00000025534	SNORD45
X	96622492	96622796	ENSPTRG00000038777	7SK
4	90254567	90254731	ENSPTRG00000025205	U1
11	43529782	43530047	ENSPTRG00000036950	7SK
3	74399155	74399258	ENSPTRG00000038368	snoU13
10	30018465	30018540	ENSPTRG00000032886	SNORD115
6	136818539	136818644	ENSPTRG00000025154	Y_RNA
22	20178022	20178103	ENSPTRG00000027732	ptr-mir-130b
7	67095675	67095759	ENSPTRG00000035418	
3	190852362	190852430	ENSPTRG00000037854	SNORD2
17	14947780	14947841	ENSPTRG00000038178	U7
3	50043242	50043308	ENSPTRG00000039787	
13	22755969	22756071	ENSPTRG00000038299	U6
11	71407797	71407879	ENSPTRG00000040586	Y_RNA
9	70853110	70853228	ENSPTRG00000037177	5S_rRNA
6	18587717	18587818	ENSPTRG00000037475	snoU13
9	79551699	79551821	ENSPTRG00000034628	
9	21096207	21096335	ENSPTRG00000033199	SNORA30
17	28355945	28356016	ENSPTRG00000024981	snoZ17
14	100666268	100666341	ENSPTRG00000024721	SNORD113
5	160134961	160135089	ENSPTRG00000024419	SNORA68
17	19173686	19173786	ENSPTRG00000031724	Y_RNA
22	49597004	49597098	ENSPTRG00000037137	Y_RNA
13	21309460	21309766	ENSPTRG00000039438	Metazoa_SRP
4	116102297	116102591	ENSPTRG00000041996	Metazoa_SRP
13	72992705	72992808	ENSPTRG00000025710	U6
15	38614358	38614451	ENSPTRG00000028024	ptr-mir-626
16	75718291	75718400	ENSPTRG00000038443	7SK
GL392213.1	10395	10507	ENSPTRG00000031546	5S_rRNA
4	11120178	11120287	ENSPTRG00000036148	5S_rRNA
3	103368116	103368187	ENSPTRG00000038115	SNORD61
3	10593615	10593688	ENSPTRG00000033489	ptr-mir-885
8	66092301	66092385	ENSPTRG00000036841	Y_RNA
8	44726495	44726601	ENSPTRG00000038113	U6
13	56226594	56226695	ENSPTRG00000037375	snoU13
4	83886867	83886968	ENSPTRG00000025953	Y_RNA
10	110131186	110131300	ENSPTRG00000027299	5S_rRNA
9	37787070	37787151	ENSPTRG00000033503	
1	152272106	152272438	ENSPTRG00000026673	7SK
14	100749102	100749180	ENSPTRG00000032358	ptr-mir-487a
14	62699195	62699298	ENSPTRG00000031744	U6
2B	227507331	227507445	ENSPTRG00000032778	Y_RNA
12	68677592	68677653	ENSPTRG00000037433	U7
5	110961210	110961296	ENSPTRG00000034900	ptr-mir-548f-2
16	8842477	8842538	ENSPTRG00000037169	U7
Y	4648842	4648954	ENSPTRG00000032966	5S_rRNA
14	100589168	100589244	ENSPTRG00000037230	SNORD112
5	38589411	38589490	ENSPTRG00000038415	U6atac
1	26604487	26604588	ENSPTRG00000033209	Y_RNA
12	124121504	124121622	ENSPTRG00000027018	5S_rRNA
12	25037159	25037274	ENSPTRG00000037059	U5
GL392075.1	6081080	6081375	ENSPTRG00000038698	Metazoa_SRP
3	140246784	140246885	ENSPTRG00000037212	U6
9	36105918	36106184	ENSPTRG00000042500	Metazoa_SRP
2B	207059765	207059854	ENSPTRG00000037527	SNORD11B
15	63822252	63822387	ENSPTRG00000037329	SCARNA14
3	200737260	200737365	ENSPTRG00000026790	U6
9	68425471	68425762	ENSPTRG00000041949	Metazoa_SRP
3	10124705	10124807	ENSPTRG00000033384	U6
19	62788559	62788644	ENSPTRG00000040170	
1	38227309	38227407	ENSPTRG00000033240	U6
17	75529776	75529853	ENSPTRG00000024907	snoR38
14	23203201	23203301	ENSPTRG00000027547	U6
9	108441124	108441194	ENSPTRG00000040395	
22	36641939	36641993	ENSPTRG00000039757	
22	24614678	24614968	ENSPTRG00000035929	7SK
5	169033772	169033886	ENSPTRG00000038093	SNORA40
9	74318466	74318551	ENSPTRG00000034836	
8	128828616	128828771	ENSPTRG00000032804	SNORA12
16	57868425	57868531	ENSPTRG00000026182	U6
10	23134461	23134567	ENSPTRG00000027552	U6
GL393544.1	163278	163358	ENSPTRG00000041223	
2A	86648352	86648460	ENSPTRG00000031560	Y_RNA
GL391118.1	39957	40068	ENSPTRG00000040857	Y_RNA
X	148026278	148026362	ENSPTRG00000042246	ptr-mir-514-1
GL392256.1	11147	11229	ENSPTRG00000042321	
10	108585544	108585651	ENSPTRG00000026346	U6
14	73433388	73433683	ENSPTRG00000040043	Metazoa_SRP
5	139724571	139724683	ENSPTRG00000031694	5S_rRNA
6	58144364	58144445	ENSPTRG00000041992	
3	90066837	90066955	ENSPTRG00000027151	Y_RNA
13	77667787	77667891	ENSPTRG00000039229	
9	100383048	100383133	ENSPTRG00000039661	
7	130387736	130387854	ENSPTRG00000042012	
AACZ03165079.1	2280	2536	ENSPTRG00000040371	Metazoa_SRP
1	210112897	210113031	ENSPTRG00000037536	
GL389966.1	230	332	ENSPTRG00000040227	snoU13
GL390657.1	38777	38850	ENSPTRG00000042584	snoU2_19
2A	61682243	61682506	ENSPTRG00000039525	Metazoa_SRP
18	53359456	53359562	ENSPTRG00000025356	U6
2A	63126711	63126814	ENSPTRG00000038479	snoU13
7	152398410	152398527	ENSPTRG00000031667	ptr-mir-671
2A	88322095	88322285	ENSPTRG00000036446	U2
8	37496995	37497101	ENSPTRG00000025951	U6
3	48669230	48669338	ENSPTRG00000024461	Y_RNA
7	32864760	32864855	ENSPTRG00000034659	
X	40211520	40211572	ENSPTRG00000039114	
12	35258410	35258519	ENSPTRG00000027585	ptr-mir-196a-2
10	6333650	6333750	ENSPTRG00000024727	Y_RNA
18	17486609	17486813	ENSPTRG00000026256	SNORA73
9	127554250	127554346	ENSPTRG00000027616	ptr-mir-219-2
1	130040884	130040985	ENSPTRG00000026213	Y_RNA
11	124193463	124193683	ENSPTRG00000035765	U4
18	6193034	6193136	ENSPTRG00000037460	snoU13
15	97326813	97327065	ENSPTRG00000040036	Metazoa_SRP
11	115981763	115982063	ENSPTRG00000039547	Metazoa_SRP
2B	179626789	179626865	ENSPTRG00000033475	ptr-mir-933
15	23281171	23281258	ENSPTRG00000041278	Y_RNA
